date,close,symbol_used,svi_raw_mean,svi_norm_composite,svi_sma_composite,return,rv_proxy,svi_lag1,svi_lag2,svi_lag3,svi_lag4,svi_lag5
2010-01-04,517.1,VNINDEX,51.75,2.6510850603787786,1.0990549243274208,4.4082638883843,19.43279050963307,1.73526711717226,2.118137621572721,1.4189685654487367,1.117756285173889,2.0417074638918704
2010-01-05,532.5,VNINDEX,51.5,2.6105918834818467,2.004125044396417,2.9346618181404445,8.61223998685138,1.0990549243274208,1.73526711717226,2.118137621572721,1.4189685654487367,1.117756285173889
2010-01-06,534.5,VNINDEX,52.75,2.6589419858073993,2.640206309889342,0.3748832881519659,0.1405374797356299,2.004125044396417,1.0990549243274208,1.73526711717226,2.118137621572721,1.4189685654487367
2010-01-07,533.3,VNINDEX,53.75,2.663230798943965,2.6442548894110707,-0.22476128585435096,0.05051763561890126,2.640206309889342,2.004125044396417,1.0990549243274208,1.73526711717226,2.118137621572721
2010-01-08,520.9,VNINDEX,55.25,2.8251058455061706,2.7157595434191784,-2.3526032855410683,5.5347422191386295,2.6442548894110707,2.640206309889342,2.004125044396417,1.0990549243274208,1.73526711717226
2010-01-11,515.1,VNINDEX,55.5,2.839543689170662,1.8537049631096636,-1.1197028179606252,1.253734400548965,2.7157595434191784,2.6442548894110707,2.640206309889342,2.004125044396417,1.0990549243274208
2010-01-12,498.3,VNINDEX,52.75,2.565314166177837,2.309681269306587,-3.3158751284180656,10.995027867261523,1.8537049631096636,2.7157595434191784,2.6442548894110707,2.640206309889342,2.004125044396417
2010-01-13,508.6,VNINDEX,50.75,2.421052293516435,2.6086367162883115,2.0459547700660505,4.185930921156026,2.309681269306587,1.8537049631096636,2.7157595434191784,2.6442548894110707,2.640206309889342
2010-01-14,512.3,VNINDEX,65.5,4.076195150133339,3.020853869942537,0.7248537957137237,0.5254130251605926,2.6086367162883115,2.309681269306587,1.8537049631096636,2.7157595434191784,2.6442548894110707
2010-01-15,505.4,VNINDEX,48.5,2.2897598054795,2.9290024163764246,-1.3560195991062667,1.8387891531603202,3.020853869942537,2.6086367162883115,2.309681269306587,1.8537049631096636,2.7157595434191784
